1.0;0.447;0.562;0.466;0.381;0.892;0.43;0.369;0.467;0.286;0.364;0.431;0.344;0.327;0.318;0.363;0.364;0.356;0.424;0.453;0.347;0.41;0.459;0.364;0.519;0.47;0.498;0.509;0.444;0.437
0.447;1.0;0.416;0.406;0.291;0.475;0.32;0.262;0.303;0.287;0.282;0.404;0.201;0.203;0.207;0.298;0.37;0.254;0.375;0.298;0.31;0.269;0.324;0.316;0.387;0.358;0.401;0.373;0.405;0.338
0.562;0.416;1.0;0.463;0.51;0.725;0.375;0.329;0.401;0.288;0.338;0.376;0.4;0.186;0.324;0.267;0.378;0.368;0.391;0.375;0.339;0.343;0.456;0.375;0.521;0.424;0.47;0.517;0.34;0.46
0.466;0.406;0.463;1.0;0.352;0.494;0.32;0.332;0.337;0.244;0.349;0.352;0.278;0.26;0.278;0.292;0.25;0.234;0.399;0.384;0.324;0.282;0.462;0.349;0.455;0.404;0.427;0.431;0.296;0.391
0.381;0.291;0.51;0.352;1.0;0.477;0.352;0.242;0.312;0.211;0.269;0.287;0.295;0.205;0.326;0.275;0.345;0.294;0.334;0.264;0.299;0.371;0.355;0.298;0.497;0.46;0.463;0.466;0.292;0.335
0.892;0.475;0.725;0.494;0.477;1.0;0.443;0.363;0.486;0.338;0.395;0.467;0.372;0.315;0.353;0.369;0.385;0.391;0.451;0.485;0.373;0.455;0.509;0.396;0.575;0.518;0.545;0.566;0.435;0.494
0.43;0.32;0.375;0.32;0.352;0.443;1.0;0.277;0.435;0.241;0.4;0.341;0.245;0.184;0.275;0.233;0.246;0.241;0.354;0.378;0.273;0.346;0.411;0.323;0.442;0.408;0.477;0.42;0.343;0.266
0.369;0.262;0.329;0.332;0.242;0.363;0.277;1.0;0.287;0.187;0.231;0.288;0.239;0.183;0.239;0.186;0.257;0.302;0.361;0.256;0.334;0.232;0.327;0.336;0.331;0.358;0.336;0.347;0.166;0.31
0.467;0.303;0.401;0.337;0.312;0.486;0.435;0.287;1.0;0.207;0.338;0.402;0.288;0.207;0.238;0.328;0.318;0.332;0.349;0.336;0.275;0.324;0.395;0.295;0.453;0.448;0.434;0.453;0.303;0.338
0.286;0.287;0.288;0.244;0.211;0.338;0.241;0.187;0.207;1.0;0.34;0.299;0.209;0.313;0.289;0.267;0.188;0.28;0.356;0.37;0.298;0.301;0.399;0.365;0.372;0.336;0.371;0.348;0.3;0.308
0.364;0.282;0.338;0.349;0.269;0.395;0.4;0.231;0.338;0.34;1.0;0.264;0.23;0.297;0.296;0.224;0.26;0.291;0.346;0.394;0.274;0.282;0.402;0.34;0.43;0.493;0.439;0.405;0.285;0.343
0.431;0.404;0.376;0.352;0.287;0.467;0.341;0.288;0.402;0.299;0.264;1.0;0.309;0.305;0.301;0.306;0.31;0.395;0.364;0.428;0.201;0.348;0.388;0.363;0.486;0.462;0.51;0.45;0.328;0.383
0.344;0.201;0.4;0.278;0.295;0.372;0.245;0.239;0.288;0.209;0.23;0.309;1.0;0.205;0.371;0.304;0.438;0.25;0.296;0.269;0.216;0.315;0.359;0.276;0.437;0.364;0.381;0.423;0.283;0.295
0.327;0.203;0.186;0.26;0.205;0.315;0.184;0.183;0.207;0.313;0.297;0.305;0.205;1.0;0.396;0.28;0.206;0.241;0.301;0.363;0.252;0.358;0.344;0.346;0.326;0.361;0.317;0.321;0.192;0.205
0.318;0.207;0.324;0.278;0.326;0.353;0.275;0.239;0.238;0.289;0.296;0.301;0.371;0.396;1.0;0.396;0.32;0.338;0.447;0.38;0.283;0.424;0.394;0.396;0.515;0.437;0.481;0.481;0.161;0.33
0.363;0.298;0.267;0.292;0.275;0.369;0.233;0.186;0.328;0.267;0.224;0.306;0.304;0.28;0.396;1.0;0.273;0.195;0.375;0.355;0.182;0.34;0.347;0.347;0.377;0.35;0.395;0.331;0.22;0.29
0.364;0.37;0.378;0.25;0.345;0.385;0.246;0.257;0.318;0.188;0.26;0.31;0.438;0.206;0.32;0.273;1.0;0.363;0.268;0.288;0.212;0.334;0.36;0.325;0.355;0.337;0.383;0.359;0.27;0.306
0.356;0.254;0.368;0.234;0.294;0.391;0.241;0.302;0.332;0.28;0.291;0.395;0.25;0.241;0.338;0.195;0.363;1.0;0.263;0.271;0.258;0.283;0.325;0.316;0.33;0.351;0.364;0.366;0.222;0.203
0.424;0.375;0.391;0.399;0.334;0.451;0.354;0.361;0.349;0.356;0.346;0.364;0.296;0.301;0.447;0.375;0.268;0.263;1.0;0.532;0.308;0.446;0.51;0.427;0.463;0.436;0.574;0.486;0.36;0.414
0.453;0.298;0.375;0.384;0.264;0.485;0.378;0.256;0.336;0.37;0.394;0.428;0.269;0.363;0.38;0.355;0.288;0.271;0.532;1.0;0.319;0.49;0.624;0.432;0.468;0.412;0.472;0.409;0.298;0.442
0.347;0.31;0.339;0.324;0.299;0.373;0.273;0.334;0.275;0.298;0.274;0.201;0.216;0.252;0.283;0.182;0.212;0.258;0.308;0.319;1.0;0.28;0.341;0.276;0.373;0.361;0.367;0.365;0.254;0.27
0.41;0.269;0.343;0.282;0.371;0.455;0.346;0.232;0.324;0.301;0.282;0.348;0.315;0.358;0.424;0.34;0.334;0.283;0.446;0.49;0.28;1.0;0.468;0.474;0.469;0.449;0.46;0.424;0.288;0.379
0.459;0.324;0.456;0.462;0.355;0.509;0.411;0.327;0.395;0.399;0.402;0.388;0.359;0.344;0.394;0.347;0.36;0.325;0.51;0.624;0.341;0.468;1.0;0.499;0.459;0.426;0.485;0.437;0.32;0.457
0.364;0.316;0.375;0.349;0.298;0.396;0.323;0.336;0.295;0.365;0.34;0.363;0.276;0.346;0.396;0.347;0.325;0.316;0.427;0.432;0.276;0.474;0.499;1.0;0.405;0.393;0.399;0.423;0.258;0.359
0.519;0.387;0.521;0.455;0.497;0.575;0.442;0.331;0.453;0.372;0.43;0.486;0.437;0.326;0.515;0.377;0.355;0.33;0.463;0.468;0.373;0.469;0.459;0.405;1.0;0.754;0.787;0.804;0.476;0.616
0.47;0.358;0.424;0.404;0.46;0.518;0.408;0.358;0.448;0.336;0.493;0.462;0.364;0.361;0.437;0.35;0.337;0.351;0.436;0.412;0.361;0.449;0.426;0.393;0.754;1.0;0.725;0.726;0.46;0.472
0.498;0.401;0.47;0.427;0.463;0.545;0.477;0.336;0.434;0.371;0.439;0.51;0.381;0.317;0.481;0.395;0.383;0.364;0.574;0.472;0.367;0.46;0.485;0.399;0.787;0.725;1.0;0.76;0.492;0.522
0.509;0.373;0.517;0.431;0.466;0.566;0.42;0.347;0.453;0.348;0.405;0.45;0.423;0.321;0.481;0.331;0.359;0.366;0.486;0.409;0.365;0.424;0.437;0.423;0.804;0.726;0.76;1.0;0.456;0.537
0.444;0.405;0.34;0.296;0.292;0.435;0.343;0.166;0.303;0.3;0.285;0.328;0.283;0.192;0.161;0.22;0.27;0.222;0.36;0.298;0.254;0.288;0.32;0.258;0.476;0.46;0.492;0.456;1.0;0.366
0.437;0.338;0.46;0.391;0.335;0.494;0.266;0.31;0.338;0.308;0.343;0.383;0.295;0.205;0.33;0.29;0.306;0.203;0.414;0.442;0.27;0.379;0.457;0.359;0.616;0.472;0.522;0.537;0.366;1.0
